id,rating,critic,top_critic,publisher,date
3,8.0,philip martin,0,Arkansas Democrat-Gazette,2012-09-07
3,8.0,mike scott,0,Times-Picayune,2012-09-07
3,8.0,joe williams,1,St. Louis Post-Dispatch,2012-09-06
3,8.0,justin craig,0,FoxNews.com,2012-09-05
3,8.0,roger moore,0,Tribune News Service,2012-09-04
3,8.0,eric melin,0,Scene-Stealers.com,2012-09-04
3,8.0,fernando f. croce,0,CinePassion,2012-09-04
3,8.0,tony macklin,0,tonymacklin.net,2012-09-02
3,8.0,susan granger,0,SSG Syndicate,2012-09-01
3,8.0,tim brayton,0,Antagony &amp; Ecstasy,2012-08-31
3,8.0,monica castillo,0,Dig Boston,2012-08-31
3,8.0,scott renshaw,0,Salt Lake City Weekly,2012-08-30
3,8.0,vincent mancini,0,FilmDrunk,2012-08-30
3,8.0,frank swietek,0,One Guy's Opinion,2012-08-30
3,8.0,thomas caldwell,0,Cinema Autopsy,2012-08-29
3,8.0,mark sells,0,The Reel Deal,2012-08-28
3,8.0,kelly vance,0,East Bay Express,2012-08-27
3,8.0,diana saenger,0,ReviewExpress.com,2012-08-25
3,8.0,peter sobczynski,0,eFilmCritic.com,2012-08-24
3,8.0,no critic,0,MetroActive,2012-08-24
3,8.0,erick weber,0,NECN,2012-08-24
3,8.0,phil villarreal,0,OK! Magazine,2012-08-24
3,8.0,marc savlov,0,Austin Chronicle,2012-08-24
3,8.0,jeffrey m. anderson,0,San Francisco Examiner,2012-08-24
3,8.0,maryann johanson,0,Flick Filosopher,2012-08-24
3,8.0,stephanie merry,1,Washington Post,2012-08-24
3,8.0,mark dujsik,0,Mark Reviews Movies,2012-08-23
3,8.0,dustin putman,0,TheFilmFile.com,2012-08-23
3,8.0,mick lasalle,1,San Francisco Chronicle,2012-08-23
3,8.0,shawn levy,0,Oregonian,2012-08-23
3,8.0,hank sartin,0,Time Out Chicago,2012-08-23
3,8.0,brian orndorf,0,BrianOrndorf.com,2012-08-23
3,8.0,colin covert,1,Minneapolis Star Tribune,2012-08-23
3,8.0,moira macdonald,1,Seattle Times,2012-08-23
3,8.0,brian tallerico,0,HollywoodChicago.com,2012-08-23
3,8.0,gary thompson,0,Philadelphia Daily News,2012-08-23
3,8.0,mark feeney,1,Boston Globe,2012-08-23
3,8.0,ron wilkinson,0,Monsters and Critics,2012-08-23
3,8.0,j. r. jones,1,Chicago Reader,2012-08-23
3,8.0,chris hewitt,0,St. Paul Pioneer Press,2012-08-23
3,8.0,rene rodriguez,1,Miami Herald,2012-08-23
3,8.0,matt pais,0,RedEye,2012-08-23
3,8.0,roger ebert,1,Chicago Sun-Times,2012-08-23
3,8.0,sean burns,0,Philadelphia Weekly,2012-08-22
3,8.0,robin clifford,0,Reeling Reviews,2012-08-22
3,8.0,laura clifford,0,Reeling Reviews,2012-08-22
3,8.0,walter chaw,0,Film Freak Central,2012-08-22
3,8.0,josh larsen,0,LarsenOnFilm,2012-08-22
3,8.0,samir mathur,0,Orlando Weekly,2012-08-22
3,8.0,staci layne,0,Sci-Fi Weekly,2012-08-21
3,8.0,jesse hassenger,0,PopMatters,2012-08-21
3,8.0,paul schrodt,0,Esquire Magazine,2012-08-21
3,8.0,drew mcweeny,0,HitFix,2012-08-21
3,8.0,katey rich,0,CinemaBlend,2012-08-20
3,8.0,ethan alter,0,Television Without Pity,2012-08-17
3,8.0,david denby,1,New Yorker,2012-08-17
3,8.0,bilge ebiri,1,New York Magazine/Vulture,2012-08-17
3,8.0,caryn james,0,James on screenS,2012-08-17
3,8.0,donald j. levit,0,ReelTalk Movie Reviews,2012-08-17
3,8.0,kyle smith,1,New York Post,2012-08-17
3,8.0,robert levin,0,amNewYork,2012-08-16
3,8.0,dana stevens,1,Slate,2012-08-16
3,8.0,witney seibold,0,CraveOnline,2012-08-16
3,8.0,amy taubin,0,Film Comment Magazine,2012-08-16
3,8.0,alonso duralde,1,TheWrap,2012-08-16
3,8.0,claudia puig,1,USA Today,2012-08-16
3,8.0,betsy sharkey,1,Los Angeles Times,2012-08-16
3,8.0,scott tobias,1,NPR,2012-08-16
3,8.0,elizabeth weitzman,1,New York Daily News,2012-08-16
3,8.0,john anderson,1,Wall Street Journal,2012-08-16
3,8.0,manohla dargis,1,New York Times,2012-08-16
3,8.0,peter travers,1,Rolling Stone,2012-08-16
3,8.0,chris barsanti,0,Film Journal International,2012-08-16
3,8.0,james berardinelli,1,ReelViews,2012-08-16
3,8.0,keith phipps,1,AV Club,2012-08-16
3,8.0,alison willmore,0,Movieline,2012-08-15
3,8.0,jordan hoffman,1,Film.com,2012-08-15
3,8.0,karina longworth,1,Village Voice,2012-08-14
3,8.0,glenn kenny,1,MSN Movies,2012-08-14
3,8.0,matt singer,0,ScreenCrush,2012-08-14
3,8.0,david ehrlich,0,Boxoffice Magazine,2012-08-14
3,8.0,edward douglas,0,ComingSoon.net,2012-08-13
3,8.0,mike d'angelo,1,AV Club,2012-08-13
3,8.0,marshall fine,0,Hollywood &amp; Fine,2012-08-13
3,8.0,budd wilkins,0,Slant Magazine,2012-08-12
3,8.0,cole smithey,0,ColeSmithey.com,2012-08-10
3,8.0,joshua rothkopf,1,Time Out,2012-08-07
3,8.0,cameron williams,0,The Popcorn Junkie,2012-08-06
3,8.0,stephen romei,0,The Australian,2012-08-06
3,8.0,paul byrnes,0,Sydney Morning Herald,2012-08-06
3,8.0,jim schembri,0,3AW,2012-08-05
3,8.0,cj johnson,0,ABC Radio (Australia),2012-08-04
3,8.0,grant mcavaney,0,MovieFIX,2012-08-02
3,8.0,matthew pejkovic,0,Matt's Movie Reviews,2012-08-01
3,8.0,luke buckmaster,0,The Daily Review/Crikey,2012-08-01
3,8.0,ed gibbs,0,The Sunday Age,2012-07-30
3,8.0,andrew l. urban,0,Urban Cinefile,2012-07-29
3,8.0,charlie lyne,0,Ultra Culture,2012-07-06
3,8.0,chris laverty,0,Clothes on Film,2012-06-28
3,8.0,graham young,0,Birmingham Mail ,2012-06-27
3,8.0,robert keeling,0,Starburst,2012-06-25
3,8.0,gail tolley,0,The List,2012-06-20
3,8.0,jonathan romney,0,Independent (UK),2012-06-18
3,8.0,charlotte o'sullivan,0,London Evening Standard,2012-06-18
3,8.0,katherine monk,0,Canada.com,2012-06-18
3,8.0,shaun munro,0,What Culture,2012-06-17
3,8.0,eric kohn,1,indieWire,2012-06-15
3,8.0,donald clarke,0,Irish Times,2012-06-15
3,8.0,jason best,0,Movie Talk,2012-06-15
3,8.0,allan hunter,0,Daily Express (UK),2012-06-15
3,8.0,alex zane,0,The Sun (UK),2012-06-14
3,8.0,chris alexander,0,Fangoria,2012-06-14
3,8.0,ryan lattanzio,0,Thompson on Hollywood,2012-06-14
3,8.0,nigel andrews,0,Financial Times,2012-06-14
3,8.0,tim robey,0,Daily Telegraph (UK),2012-06-14
3,8.0,ian nathan,0,Empire Magazine,2012-06-14
3,8.0,rich cline,0,Shadows on the Wall,2012-06-14
3,8.0,matthew turner,0,ViewLondon,2012-06-14
3,8.0,no critic,0,Montreal Gazette,2012-06-13
3,8.0,francesca steele,0,Sky Cinema,2012-06-13
