Genre,averagerating,production_budget,domestic_gross,worldwide_gross,total_revenue,net_revenue,ROI,movie_count,average_total_revenue_per_movie,average_net_revenue_per_movie,average_ROI_per_movie
Biography,6.971794871794873,25456658.866666667,34696783.743589744,72312842.90256411,107009626.64615385,81552967.77948718,640.2030555103952,195,548767.3161341223,418220.34758711373,3.283092592361001
Animation,6.498425196850394,86793616.11811024,117342317.0472441,321556226.37795275,438898543.4251968,352104927.3070866,485.79176276702066,127,3455894.0427180855,2772479.742575485,3.825131990291501
Romance,6.2801261829653,20554264.98422713,29736489.157728706,63677715.96529968,93414205.1230284,72859940.13880126,479.3354796122221,317,294682.03508841764,229842.0824567863,1.5120993047704168
Mystery,6.016742081447963,21371334.945701357,31437965.59728507,70134485.38914028,101572450.98642534,80201116.04072398,981.774401910613,221,459603.8506173092,362900.977559837,4.442418108192819
Sci-Fi,6.1555,71005221.865,92727282.79,249970043.62,342697326.41,271692104.545,341.36329062156483,200,1713486.6320500001,1358460.522725,1.706816453107824
Documentary,7.13265306122449,22536445.67857143,29681345.612244897,58432814.22448979,88114159.8367347,65577714.158163264,572.757719521835,196,449562.0399833403,334580.1742763432,2.9222332628665053
News,6.8,16600000.0,9403741.0,36682077.0,46085818.0,29485818.0,135.01646915708815,3,15361939.333333334,9828606.0,45.005489719029384
Drama,6.436692147324532,23707317.471855454,29089918.690062545,61769164.464211255,90859083.15427381,67151765.68241835,434.5950383357944,1439,63140.43304675039,46665.57726366806,0.3020118404001351
Crime,6.254874651810585,27678533.0724234,30423592.169916436,66383570.47632312,96807162.64623955,69128629.57381615,241.87444972579127,359,269657.8346691909,192558.85675157703,0.6737449853086108
Adventure,6.391441441441441,91581112.85135135,106402231.37837838,297577447.9031532,403979679.2815315,312398566.4301802,333.7209748449078,444,909864.1425259719,703600.3748427482,0.7516238172182608
Family,6.217985611510791,54030678.035971224,71095996.23021583,167568963.5827338,238664959.81294963,184634281.7769784,569.3977696878535,139,1717014.0993737383,1328304.1854458877,4.096386832286716
Sport,6.581967213114755,24206967.213114753,40231511.09836066,79033460.09836066,119264971.19672132,95058003.98360656,656.9954986093726,61,1955163.462241333,1558327.9341574847,10.770418009989715
Western,6.286666666666665,49453333.333333336,40215281.6,81769202.0,121984483.6,72531150.26666667,99.23087116827875,15,8132298.906666666,4835410.017777777,6.615391411218583
Horror,5.351977401129943,18171079.30225989,28546552.36440678,64937675.41807909,93484227.78248587,75313148.480226,1164.1544324154602,354,264079.7394985477,212749.00700628813,3.288571842981526
Fantasy,6.008720930232558,70074356.0872093,78765119.90697674,218155066.08139536,296920185.9883721,226845829.9011628,549.7768417385405,172,1726280.1510951866,1318871.104076528,3.1963769868519796
Comedy,6.177358490566038,33636559.53234501,48171980.247978434,107792378.03234501,155964358.28032345,122327798.74797843,435.4587913651855,742,210194.5529384413,164862.2624635828,0.5868716864759912
History,6.829577464788733,31195915.492957745,33445212.633802816,70388753.66197184,103833966.29577465,72638050.8028169,455.4332332375095,71,1462450.2295179528,1023071.1380678436,6.4145525808099935
Action,6.117292006525286,66052169.65742251,72061875.97389886,193826569.22022837,265888445.19412723,199836275.53670472,356.24533765410445,613,433749.502763666,325997.18684617407,0.5811506323884249
Music,6.445555555555556,20249111.111111112,40664168.13333333,89548080.65555556,130212248.78888889,109963137.67777778,414.09581364834963,90,1446802.7643209877,1221812.6408641976,4.601064596092773
Thriller,5.8434077079107505,27367106.23326572,32992671.135902636,81857531.03042597,114850202.1663286,87483095.93306288,752.0417098409326,493,232961.8705199363,177450.49885002614,1.5254395737138593
Musical,6.404761904761905,38190476.190476194,75995176.66666667,175612973.33333334,251608150.0,213417673.80952382,398.151817626298,21,11981340.476190476,10162746.371882087,18.959610363157047
War,6.438461538461539,23102564.102564104,19674082.307692308,42575176.820512824,62249259.12820513,39146695.025641024,119.23490172812863,39,1596134.8494411572,1003761.4109138724,3.0573051725161187
